电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
乱世佳人, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费..., 费...,,1939,剧情 历史 爱情 战争,9.3,,"
Tomorrow is another day.
"
飞屋环游记, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peter, 爱德...,,2009,剧情 喜剧 动画 冒险,9.1,,"
最后那些最无聊的事情，才是最值得怀念的。 
"
让子弹飞, 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..., 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,,2010,剧情 喜剧 动作 西部,9.0,,"
你给我翻译翻译，神马叫做TMD的惊喜。
"
哈尔的移动城堡, 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Bai, 倍赏千惠子 Chieko Bai,,2004,爱情 动画 奇幻 冒险,9.1,,"
带着心爱的人在天空飞翔。
"
素媛, 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..., 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,,2013,剧情,9.3,,"
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
"
十二怒汉, 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁..., 亨利·方达 Henry Fonda / 马丁...,,1957,剧情,9.4,,"
1957年的理想主义。 
"
海蒂和爷爷, 阿兰·葛斯彭纳 Alain G, 阿努克·斯特芬 Anuk Steffen /...,,2015,剧情 冒险 家庭,9.3,,"
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
"
猫鼠游戏, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L..., 莱昂纳多·迪卡普里奥 L...,,2002,传记 犯罪 剧情,9.1,,"
骗子大师和执著警探的你追我跑故事。 
"
天空之城, 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke..., 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,,1986,动画 奇幻 冒险,9.2,,"
对天空的追逐，永不停止。 
"
鬼子来了, 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..., 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,,2000,剧情 喜剧,9.3,,"
对敌人的仁慈，就是对自己残忍。
"
摔跤吧！爸爸, 涅提·蒂瓦里 Nite, 阿米尔·汗 Aamir Khan / 法缇玛...,,2016,剧情 传记 运动 家庭,9.0,,"
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
"
少年派的奇幻漂流, 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..., 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,,2012,剧情 奇幻 冒险,9.1,,"
瑰丽壮观、无人能及的冒险之旅。
"
钢琴家, 罗曼·波兰斯基 Roman Polan, 艾德里安·布洛迪 Adrien Brod...,,2002,剧情 传记 战争 音乐,9.3,,
指环王2：双塔奇兵, 彼得·杰克逊 Peter Jack, 伊利亚·伍德 Elijah Wood / 西恩...,,2002,剧情 动作 奇幻 冒险,9.2,,"
承前启后的史诗篇章。
"
死亡诗社, 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin William, 罗宾·威廉姆斯 Robin William,,1989,剧情,9.2,,"
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
"
大话西游之月光宝盒, 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,1995,喜剧 爱情 奇幻 古装,9.0,,
何以为家, 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ..., 扎因·拉费阿 Zain al-Rafeea / ...,,2018,剧情,9.1,,"
凝视卑弱生命，用电影改变命运。
"
闻香识女人, 马丁·布莱斯 Martin Bre, 阿尔·帕西诺 Al Pacino / 克里斯...,,1992,剧情,9.1,,
